county,date,snowfall
Barnstable,1/3/18,0
Barnstable,1/4/18,0.5
Barnstable,1/5/18,0.7
Barnstable,1/6/18,0
Berkshire,1/3/18,0
Berkshire,1/4/18,0
Berkshire,1/5/18,12
Berkshire,1/6/18,0.6
Bristol,1/3/18,0
Bristol,1/4/18,0.2
Bristol,1/5/18,15.5
Bristol,1/6/18,0
Dukes,1/3/18,0
Dukes,1/4/18,0
Dukes,1/5/18,0.5
Dukes,1/6/18,0
Essex,1/3/18,0
Essex,1/4/18,14
Essex,1/5/18,10
Essex,1/6/18,0
Franklin,1/3/18,0
Franklin,1/4/18,0.3
Franklin,1/5/18,13
Franklin,1/6/18,0
Hampden,1/3/18,0
Hampden,1/4/18,0.2
Hampden,1/5/18,9
Hampden,1/6/18,0
Hampshire,1/3/18,0
Hampshire,1/4/18,0.1
Hampshire,1/5/18,9
Hampshire,1/6/18,0
Middlesex,1/3/18,0
Middlesex,1/4/18,0
Middlesex,1/5/18,9.5
Middlesex,1/6/18,0
Nantucket,1/3/18,0
Nantucket,1/4/18,0
Nantucket,1/5/18,0
Nantucket,1/6/18,0
Norfolk,1/3/18,2
Norfolk,1/4/18,2
Norfolk,1/5/18,10.1
Norfolk,1/6/18,0
Plymouth,1/3/18,0
Plymouth,1/4/18,14
Plymouth,1/5/18,11
Plymouth,1/6/18,0
Suffolk,1/3/18,0
Suffolk,1/4/18,13
Suffolk,1/5/18,13.4
Suffolk,1/6/18,0
Worcester,1/3/18,0
Worcester,1/4/18,16.8
Worcester,1/5/18,11
Worcester,1/6/18,0